FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
30289,2254,10671,665,295,0,57042,4592,9151,483,238,158,57,160
40218,3467,1709,145,376,44,64588,4730,3015,87,292,61,54,160
47052,4634,5652,216,325,95,116067,5706,8171,468,249,101,54,160
18810,4745,1852,240,259,350,54667,10968,6884,368,45,187,37,160
21637,2686,715,279,553,58,52225,5423,1790,155,289,35,37,160
8704,3656,1102,117,307,4,41648,10762,4752,76,250,0,22,160
30955,1018,2339,136,496,146,77558,3339,2729,46,312,211,44,160
7263,4549,3025,154,187,88,24145,12984,4391,96,74,33,22,160
13780,3302,3885,228,120,174,53082,8411,5843,137,120,168,26,160
19478,0,1919,250,456,43,58529,298,3169,190,357,202,32,161
13201,729,91,201,445,159,60093,3714,1047,101,250,96,21,161
30223,7582,0,282,838,82,55390,9672,2279,144,428,256,61,161
20586,5844,6810,399,862,294,50806,10647,11427,521,637,283,45,161
17555,4947,0,202,375,307,73043,13662,0,86,210,320,23,161
27048,784,7683,728,577,52,73777,2424,9517,617,338,96,33,161
13548,5605,3879,308,316,53,40367,13784,8128,268,75,164,22,161
19160,4278,8913,692,354,82,51086,8803,8790,496,205,219,34,161
46637,0,11554,442,237,0,77486,647,8256,437,356,229,47,161
40391,904,3680,379,502,141,80844,2499,5736,375,282,139,46,161
21792,4418,2618,194,718,344,53557,8954,4414,142,388,218,31,161
29381,13996,7253,474,463,274,82066,30194,11180,603,279,211,30,161
13581,3456,7717,604,237,107,52913,8573,10978,622,117,21,22,161
24928,3991,5661,368,246,377,44633,8766,7545,377,371,275,51,161
18434,3122,980,338,232,353,49764,8031,2799,203,125,266,49,161
112694,17339,17613,1116,618,253,219490,19189,13673,793,227,207,95,161
11297,8793,8471,432,408,59,28918,15010,8881,454,189,110,36,161
3839,4816,0,68,253,228,17705,16647,0,17,67,216,15,161
24375,10504,4641,470,609,292,81904,23639,5166,317,355,348,32,161
12775,7224,1024,37,157,165,28877,12710,1884,81,48,331,39,161
13486,3922,3096,337,210,229,41421,10483,4801,354,43,185,22,161
9223,9101,1834,389,372,98,29831,22808,2894,347,161,0,21,161
19414,1975,298,173,363,0,62018,5019,608,115,271,0,24,161
22126,3618,5180,474,334,34,46213,6459,9066,560,149,106,43,161
22002,4065,0,247,295,113,54305,11932,80,127,92,122,31,161
37394,4476,8881,740,364,120,101401,9736,9563,591,238,151,38,161
11237,4426,851,145,427,210,38125,10619,1410,112,269,156,30,161
14105,258,0,142,462,52,61798,776,0,103,225,47,20,161
17261,1198,0,80,441,258,59553,3562,115,0,438,174,26,161
16467,1821,9730,642,312,113,51394,4689,14639,714,141,44,23,161
27730,3759,10288,701,313,152,53644,9003,14404,879,172,266,46,162
17549,32,7370,474,508,126,69846,2199,10609,439,331,117,22,162
10968,2234,3889,175,349,113,50542,7281,5962,95,102,81,20,162
40516,12106,14597,686,543,16,59367,13995,11300,441,338,255,61,162
13486,16427,0,201,219,58,31828,42615,309,92,98,0,26,162
93498,19153,0,0,0,401,192045,32940,0,44,250,247,58,162
