FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
11900,2131,507,0,339,0,25612,5700,421,0,133,115,33,43776
21877,1850,3997,134,250,235,61134,3690,4617,118,402,241,32,43776
29000,2768,50,160,307,140,77032,5043,196,55,218,109,40,43777
44648,17769,8054,512,427,126,109382,28691,8978,459,295,77,43,43778
7318,1428,350,157,283,183,31119,5115,444,49,96,79,23,43778
14025,1345,0,113,411,94,42026,4199,0,65,329,8,26,43780
35929,2160,3709,367,208,226,47914,3353,3087,221,70,341,70,43782
26649,373,2680,198,441,55,70080,1843,3104,152,297,177,27,43782
17004,1217,0,185,307,128,30343,5326,521,119,133,195,48,43782
22988,1693,144,83,501,107,66061,4160,201,45,290,117,31,43783
2671,2031,47,256,175,70,12531,7097,125,202,0,11,16,43785
14310,2067,0,190,220,201,31650,5104,131,104,118,166,35,43785
13730,1549,0,0,592,131,39032,4916,299,0,381,53,28,43787
32369,6018,3316,199,0,0,66537,11092,3964,128,0,129,42,43787
6110,1278,248,136,292,205,38080,5233,238,31,142,348,12,43790
5644,1905,181,136,52,226,17031,5569,238,156,0,197,23,43791
53843,12543,3989,376,366,0,124876,21032,4032,231,291,217,45,43791
42672,17,9209,784,121,180,80587,2810,8572,439,213,218,56,43792
64288,10520,8776,699,750,382,131550,17872,8500,434,399,409,79,43792
24112,1772,11,261,448,101,57187,3487,265,115,187,202,37,43793
140522,7932,54,0,34,192,299534,14002,367,36,168,324,96,43795
59014,402,5711,399,351,0,117173,1964,5475,360,347,508,90,43798
4556,6814,385,71,376,129,27754,27278,843,0,320,137,12,43798
5126,14618,329,143,118,0,11003,31402,649,46,73,27,27,43800
9887,159113,0,185,325,0,18048,216771,65,72,216,14,41,43800
15481,332347,227,219,438,56,34387,320977,363,91,356,185,47,43800
13220,153189,45,93,468,0,26266,224735,325,66,325,214,41,43800
4907,4647,162,128,166,195,19340,11281,98,9,27,163,19,43800
1656,3780,23,136,253,183,4993,8996,0,126,45,170,19,43800
5409,2450,464,187,255,191,17129,5715,828,59,57,115,24,43800
2036,1619,116,146,331,126,11536,6431,146,17,117,74,12,43800
6880,2907,199,0,397,88,15504,6307,135,0,226,161,28,43800
7616,5895,396,202,441,0,14417,8299,616,91,312,116,42,43800
24282,2389,0,148,49,304,49773,4464,271,56,259,426,52,43803
41683,2060,5519,595,918,0,92732,2734,5607,352,506,44,67,43804
30162,3542,4413,639,84,346,55365,6103,3913,413,184,347,60,43805
15993,2097,773,536,691,373,42227,5066,751,465,545,370,29,43805
10199,902,0,179,283,188,40861,4364,55,214,283,128,31,43808
30554,1784,5630,411,255,389,73357,4107,6080,300,154,307,30,43808
40818,3764,294,0,670,58,49116,6464,545,152,343,241,100,43811
10625,1964,119,0,97,79,25797,5527,319,0,76,109,27,43814
51825,10499,434,273,295,176,38513,5932,375,145,336,349,115,43816
10513,1384,100,300,223,86,31339,5313,163,227,0,108,23,43816
73185,12701,9011,864,753,0,151553,18081,7713,590,471,361,80,43816
11909,2176,149,45,319,32,25928,5671,291,61,277,85,40,43816
36909,1093,9608,646,0,283,83173,2571,9953,518,39,259,53,43816
11277,4270,360,231,60,0,15755,18417,573,249,218,194,59,43817
9933,14157,408,0,558,123,29578,22800,385,0,244,156,28,43819
3245,6254,0,131,315,295,17568,19750,68,19,158,381,14,43819
3166,6907,66,148,328,205,13595,20215,59,52,204,124,15,43819
6309,10623,0,220,280,292,20095,20395,0,88,487,447,23,43819
6538,8756,391,208,489,270,19583,20236,501,142,272,280,20,43819
3130,5228,255,149,234,37,17197,17354,287,15,0,143,13,43819
5005,7138,140,126,327,46,27063,20418,143,67,57,0,15,43819
7905,8560,152,146,379,200,30896,20325,69,185,290,164,19,43819
4024,5719,32,161,417,0,22343,18136,2,69,365,0,14,43819
2056,6230,347,211,466,232,9048,17935,293,126,511,188,16,43819
10516,13389,295,258,393,326,32571,19370,306,145,479,339,32,43819
4350,9491,156,276,342,289,15243,19268,406,171,191,366,22,43819
1547,6676,334,187,307,217,5732,18488,491,128,158,165,16,43819
3875,6583,94,308,513,128,19322,17817,0,308,455,285,16,43819
3055,7919,362,223,333,300,10868,19136,485,110,67,286,19,43819
7121,12005,0,191,6,0,18087,19118,0,100,0,0,29,43819
2615,7930,332,137,421,249,8706,18215,467,150,312,195,19,43819
11674,21536,0,510,169,228,21794,20800,116,239,209,326,50,43819
5640,6925,175,158,319,314,27056,19235,130,91,134,375,16,43819
12975,1517,421,99,18,192,44750,3923,563,95,0,271,31,43821
36770,1764,4762,460,259,0,71282,2884,4583,366,443,63,78,43822
50897,1220,8332,377,256,164,100909,2825,6725,419,516,343,77,43822
9872,1088,144,149,310,176,40145,4640,158,61,211,171,25,43824
124661,21196,0,1171,0,470,65066,7971,140,276,432,300,220,43825
51142,4222,25,68,703,352,117652,8273,168,33,504,241,38,43826
3033,5775,209,140,384,119,16673,17986,467,91,185,63,14,43831
5243,12461,393,188,258,279,12653,18306,512,118,92,242,30,43831
6259,9361,319,12,460,83,16764,19154,365,0,425,17,23,43831
4101,4687,198,93,310,252,26466,17159,238,0,95,219,12,43831
3685,7441,171,105,376,13,14465,18905,747,147,501,95,18,43831
4648,7147,137,148,409,264,21919,18147,425,61,259,336,17,43831
5715,5565,369,137,217,37,29663,17790,411,45,43,219,14,43831
2032,5925,345,191,442,0,8534,16568,433,123,591,0,16,43831
3773,4881,90,196,364,14,22194,16264,93,121,172,76,13,43831
2770,8086,261,187,151,159,7548,16005,317,45,9,197,22,43831
7970,11834,177,83,324,13,17730,15598,415,37,283,221,35,43831
2961,6966,103,175,360,379,9441,17298,32,51,363,409,18,43831
2147,5518,192,196,264,247,10321,16869,147,150,42,242,15,43831
1607,6094,190,87,327,0,4802,15538,284,0,171,0,18,43831
2242,4708,199,137,258,220,13120,17389,406,67,0,206,12,43831
4973,4503,178,213,411,101,32520,16646,224,141,286,19,12,43831
2433,6336,204,154,427,170,7916,15534,294,90,288,133,18,43831
2214,5010,70,146,301,11,10158,14709,0,22,14,0,15,43831
2786,4767,177,202,361,208,14598,15190,158,99,328,113,14,43831
37528,1279,5137,399,715,0,74361,3247,5329,244,399,6,36,43832
44766,4293,0,81,615,403,76075,6470,289,109,459,404,82,43833
214328,8177,0,18,519,0,432166,14913,320,195,339,234,110,43834
74316,13404,0,169,0,23,41645,6082,216,164,201,356,164,43834
9154,1335,149,143,270,91,34811,5051,207,72,138,22,18,43835
9772,3832,300,69,151,314,41976,9223,428,84,63,238,22,43837
60661,2044,9208,627,588,274,107517,4182,8344,488,312,332,63,43838
68543,2678,521,40,403,367,147192,6983,642,77,247,304,57,43838
23375,0,3542,376,406,171,56380,2511,3688,281,227,280,38,43840
15225,1894,245,117,72,77,44949,4176,185,54,0,171,36,43842
24817,3921,156,0,412,250,46222,5609,337,94,399,302,61,43843
18385,3719,629,343,321,473,26680,6014,559,153,235,317,63,43843
8511,527,209,235,279,40,47079,3044,122,142,136,0,14,43845
111617,5597,8780,187,393,0,210135,8059,8316,316,181,263,69,43846
4120,2176,328,96,361,179,24988,7915,445,0,184,208,12,43849
58086,13105,1564,999,832,319,100812,17628,1356,400,579,414,70,43849
26563,1050,3619,553,592,300,54910,3880,3809,356,476,191,31,43849
17794,1432,4451,347,243,25,45479,3396,4046,292,147,86,30,43849
45966,1626,7083,583,435,89,111052,2324,6594,450,223,272,55,43851
15159,4511,134,279,648,147,28675,8789,144,148,349,260,36,43852
54641,306,7819,835,333,0,109247,3244,7561,461,199,55,49,43853
25311,5146,653,169,70,314,37813,4979,455,175,359,284,68,43853
24361,1621,7513,470,403,434,52262,3847,7451,325,166,336,28,43853
8743,1000,0,199,376,173,32157,5130,57,188,179,85,28,43855
34530,1793,5914,592,394,0,84710,2722,5682,385,264,170,50,43856
53876,2003,7145,915,355,250,101049,3769,6813,556,318,104,39,43860
10401,1432,190,0,213,108,41094,4280,278,0,58,125,25,43860
26757,4153,272,99,582,0,38271,5129,297,138,275,182,90,43861
36826,944,5151,356,151,122,94604,2474,5658,243,335,414,37,43861
44831,4197,4576,258,343,516,132544,7184,5126,186,285,426,36,43861
1594,5686,0,146,180,258,5158,13186,50,93,1,273,19,43863
4796,6240,0,0,321,173,19024,12612,0,0,180,320,22,43863
5529,9367,0,166,384,192,9974,13294,132,169,310,154,33,43863
2009,5088,0,43,357,0,7045,13333,0,11,496,0,17,43863
4002,8123,224,108,444,186,12956,13292,348,21,305,106,28,43863
1341,3717,2,120,199,0,7078,12818,0,62,0,0,13,43863
4061,5752,322,63,360,116,12811,12738,409,0,328,250,20,43863
7137,9420,0,196,475,174,16768,12455,107,160,617,77,33,43863
10006,8594,48,51,192,113,26295,14253,305,0,102,72,30,43863
1804,3773,63,75,394,168,9474,12866,0,0,272,194,13,43863
1840,3991,119,110,72,195,8081,11327,238,0,0,209,16,43863
2258,5183,425,72,177,114,7447,12323,536,0,27,153,19,43863
7843,11017,201,133,439,0,15246,12978,637,58,329,14,38,43863
9405,7901,267,87,70,108,24616,13581,370,104,0,111,28,43863
8505,11187,73,66,529,14,15650,12181,196,86,338,130,43,43863
6476,8270,164,102,244,205,15095,13052,250,50,117,192,30,43863
3622,6650,300,182,424,217,14524,12158,308,77,186,165,25,43863
3544,6435,48,110,397,179,9760,11932,109,27,216,229,24,43863
5346,7367,499,170,267,52,16495,11593,538,65,127,173,29,43863
42566,1268,5579,433,424,125,104727,2710,5653,278,246,264,41,43868
46309,59,4753,296,163,0,105783,1318,4854,223,260,119,38,43868
58878,14655,8133,764,690,131,94256,22618,5956,452,277,589,67,43873
6493,918,468,293,600,271,19016,5499,402,194,676,153,28,43874
40769,4213,0,405,514,77,68629,6137,264,148,403,223,83,43874
41814,5945,541,0,834,232,36859,5908,595,95,351,419,111,43877
8653,3467,158,208,219,114,29526,8744,300,80,190,25,20,43878
19616,19458,5029,439,370,52,45329,29454,4067,275,292,168,42,43879
50730,15832,5772,136,672,143,83081,20955,4800,176,552,337,74,43881
39749,431,5755,364,343,403,77500,2171,4926,324,254,321,51,43881
22795,1072,2677,288,399,176,70125,4028,3010,178,269,109,24,43883
20323,3318,7398,477,378,129,68882,7370,8168,353,160,444,24,43885
4913,1826,217,270,415,135,23358,5333,193,160,223,122,17,43888
18938,949,195,75,246,162,54044,2330,241,119,106,102,38,1352
3769,4002,102,163,204,56,9421,8367,241,35,99,75,25,1358
18167,3432,1602,287,376,426,60396,9342,2151,162,230,278,38,1359
15909,461,365,211,319,29,49625,2760,236,159,292,90,31,1361
53443,909,4639,554,217,0,154217,2347,5877,446,127,64,39,1365
23041,1425,2612,214,240,149,84576,3192,3354,137,0,162,26,1365
24282,1385,3159,337,280,143,59853,3839,4181,232,307,94,63,1367
2135,1225,181,110,253,319,11773,6038,122,0,12,309,13,1368
5051,2397,0,117,399,44,16448,6416,0,36,355,0,21,1369
22858,1416,3580,199,531,117,58241,2174,4156,197,258,383,57,1369
21236,1732,3434,114,168,0,49454,3042,3817,144,97,119,48,1370
22975,2206,150,24,330,0,53935,3417,210,0,226,16,40,1370
40084,2758,0,0,15,317,119978,4892,66,0,91,232,42,1372
28159,6740,5751,303,676,297,88451,14306,6937,273,586,317,27,1373
15747,2574,286,117,334,441,34669,5427,449,81,132,215,43,1375
13751,2174,331,1,153,0,33112,5132,330,66,81,0,41,1376
17900,1326,329,134,265,141,53707,4895,354,48,99,162,25,1379
112278,16188,0,31,255,0,61869,7591,163,146,344,255,135,1380
8882,1228,7,276,132,205,34811,5067,4,250,0,244,18,1382
12973,2970,276,255,348,319,33206,5220,236,145,203,330,45,1383
2839,3446,411,173,480,237,6114,8332,293,124,273,205,30,1385
19135,2341,261,343,139,376,39354,4856,362,173,57,330,48,1385
21254,2588,0,0,234,364,50492,5092,102,0,79,336,42,1387
37243,3151,56,40,195,328,87388,5278,99,49,213,213,52,1391
74348,793,10581,666,345,38,189432,2092,12147,615,246,70,43,1394
53171,518,4506,504,612,234,124607,1510,5209,321,470,181,40,1395
63876,13311,1261,114,927,397,165135,21552,1014,95,900,290,49,1396
8878,5096,118,229,0,255,19183,12393,207,159,59,211,34,1398
24771,356,4188,462,223,280,80692,1863,4802,377,367,446,60,1400
10032,1963,487,110,546,180,25708,5788,338,36,267,264,31,1403
5713,1784,104,51,369,0,20677,5652,272,0,165,140,19,1404
12728,3287,371,71,82,288,18987,5606,230,82,202,373,44,1404
7852,2862,0,87,364,253,25085,5677,84,69,393,240,27,1404
10594,2444,388,231,429,256,25544,5376,428,128,198,324,36,1406
25754,3204,6886,666,324,0,50430,4864,6537,626,266,124,51,1408
19295,2678,0,22,282,361,37715,5141,189,152,133,403,47,1411
30375,518,5186,457,499,237,80443,1848,5233,368,404,262,46,1412
46277,10005,0,232,228,20,48768,8545,337,121,511,241,92,1412
45542,3653,251,344,0,350,93929,7666,493,180,0,210,42,1413
7835,1938,480,90,0,135,21503,6499,388,13,0,228,33,1414
2979,4152,300,175,112,177,9804,10530,258,106,0,265,18,1416
2213,3374,73,158,343,173,11070,10650,0,65,147,75,15,1416
9662,6844,374,241,408,235,20707,10106,527,220,381,115,30,1416
1198,3462,221,155,181,70,5235,10696,192,29,0,105,15,1416
4117,4735,0,190,594,61,12145,10802,0,76,438,203,22,1416
2476,2804,223,139,342,122,12896,9180,342,56,192,226,14,1416
9354,5101,317,250,465,92,29542,12221,398,234,311,11,20,1416
10543,10002,328,320,565,0,16565,10620,225,136,584,106,49,1416
4095,3491,238,232,225,197,20216,10304,195,161,79,174,15,1416
3271,6084,184,111,345,268,10533,10889,190,36,169,211,26,1416
4710,4387,240,101,363,73,17835,10616,227,61,99,101,20,1416
2484,2533,153,117,402,102,13475,8657,32,0,203,134,13,1416
2971,2875,53,102,256,222,14376,9168,75,32,0,182,15,1416
6139,6482,70,172,223,117,15816,10739,337,79,236,151,28,1416
5861,6628,0,188,451,316,15871,9761,61,140,549,265,32,1416
10546,10023,514,235,429,195,23120,11132,453,162,311,412,46,1416
1807,2405,0,110,121,228,7945,7733,0,0,0,128,14,1416
3845,2825,70,140,235,153,19984,9765,12,34,42,55,14,1416
