FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
191729,7747,1599,0,1587,780,49627,2576,348,191,495,388,673,950
120752,22078,464,881,514,0,61153,9068,324,224,335,143,181,952
19672,721,446,63,291,35,58717,2031,538,0,133,51,23,955
23544,550,409,0,426,265,59896,1886,285,0,355,260,38,966
16090,986,178,142,477,1,55782,3940,235,58,289,106,23,967
34995,1023,178,116,294,97,100609,2801,275,74,241,157,32,968
50379,11890,0,751,369,0,36273,7769,395,224,288,99,115,969
29965,16894,60,379,60,20,30633,19639,132,222,145,41,66,977
30899,3122,1089,202,445,0,50313,5328,765,130,258,38,48,977
34248,747,359,0,339,168,82373,2696,379,39,168,260,52,981
137401,22054,0,75,0,0,66411,8898,133,122,221,304,224,982
26091,2328,124,15,261,43,54628,3960,221,14,129,305,50,984
24031,3409,220,306,454,55,54285,6042,239,164,583,63,34,984
33720,17764,600,207,208,228,77282,30453,347,157,72,398,44,984
26550,4559,594,470,867,37,41612,6197,761,294,574,433,53,984
18794,689,221,140,334,114,57268,1832,360,112,123,161,30,987
18016,275,190,49,373,185,69721,1907,206,29,125,177,24,988
20285,8902,489,456,243,49,44943,15943,286,245,152,127,46,988
84236,12810,190,1017,409,0,50716,6102,410,272,314,164,167,988
28761,1212,75,176,297,361,80349,2810,29,131,62,436,25,996
25702,3432,680,0,349,462,40266,4960,451,42,286,288,57,997
40342,1542,277,122,345,282,107462,3358,155,104,241,237,36,1001
36352,567,793,86,0,129,70319,1536,540,105,188,143,89,1002
28231,208,421,272,504,267,66393,2200,330,135,237,344,40,1004
38183,2580,96,229,349,201,99358,6254,345,97,253,172,36,1004
25006,312,331,368,457,0,56178,1957,296,218,356,0,50,1008
25576,10796,140,383,615,180,62789,20303,177,280,445,150,33,1010
23207,756,329,129,664,298,51945,2338,180,89,329,262,37,1015
6403,2522,0,179,403,325,16433,5708,0,120,208,299,28,1016
41714,3337,1398,0,79,810,66147,4052,795,17,209,411,83,1017
3977,1886,307,0,432,144,10504,8599,193,0,455,218,24,1018
18276,2946,350,394,0,379,30792,5157,471,200,0,276,58,1019
114404,16241,418,495,7,0,239439,26529,605,201,188,96,75,1021
21447,1863,0,58,100,440,55647,3350,198,26,156,375,44,1021
10546,4615,29,262,250,0,20393,7747,180,260,74,0,41,1022
51811,14555,206,28,0,326,40024,7161,411,251,57,227,143,1026
41712,400,555,379,982,207,83286,1280,620,191,841,305,47,1028
52167,10495,746,338,675,231,130358,16104,572,163,423,263,52,1031
52116,11819,584,134,0,308,32174,6236,372,124,318,236,132,1033
148558,29129,572,633,505,0,61332,8902,669,224,277,120,224,1034
25055,1467,481,129,262,147,51814,3222,436,107,251,383,54,1036
34516,6952,94,238,625,395,84638,12817,292,144,398,344,50,1038
30976,22473,0,0,241,235,33721,13765,121,71,277,338,93,1039
24963,1446,659,169,330,0,53697,3162,746,107,278,113,43,1040
39851,3523,427,90,447,419,51941,4707,317,218,409,341,63,1044
756189,721023,5189,275,705,480,281284,218417,960,359,619,391,260,1044
27742,518,264,204,633,114,55730,2525,167,151,671,89,35,1050
43891,5887,697,256,342,313,100209,12470,811,170,189,285,31,1050
48439,32081,2318,545,975,710,67909,46453,1454,528,918,385,58,1053
76367,2922,25,213,265,213,149579,3982,206,125,307,302,77,1055
21327,27352,269,299,186,226,44110,42479,648,140,119,482,40,1056
17394,1080,693,182,408,252,53062,3191,699,83,228,170,24,1058
8609,4155,677,284,237,0,13842,9031,748,219,388,270,57,1059
8327,1735,0,114,636,226,24852,5289,101,67,469,117,26,1060
34938,962,650,166,304,317,78642,2547,428,114,224,400,70,1061
209577,38219,1613,415,1442,528,77021,11731,519,203,370,383,218,1061
47406,1024,8,258,313,62,120479,3217,83,205,279,85,36,1061
30305,846,711,270,456,174,58786,2070,634,156,467,200,35,1062
25094,2549,708,436,1035,132,49442,3703,786,383,544,172,57,1065
84169,27198,894,151,0,0,43794,9637,636,160,144,217,160,1067
30820,1252,422,282,399,0,70499,2326,266,149,140,30,39,1068
3609,2283,0,137,70,38,7359,10186,206,90,0,99,29,1068
25144,2400,0,347,327,0,66775,5364,70,147,173,75,47,1068
203226,29708,0,1062,630,0,81577,9698,485,226,521,188,210,1072
51628,1529,561,166,202,264,134825,3909,592,72,241,217,36,1074
7148,1411,31,190,100,144,31773,5232,0,69,0,160,18,1074
42289,2841,201,247,408,0,77341,3632,379,150,488,57,47,1076
495270,44752,1361,0,3621,0,207669,17250,614,234,929,402,267,1077
26402,5308,492,49,289,0,44671,7957,432,141,110,53,50,1077
43396,9728,0,0,312,400,62018,14949,313,84,432,416,107,1077
41916,28821,1138,120,874,4,81476,41706,822,127,627,337,52,1079
23162,999,579,0,696,292,47723,2828,472,89,594,182,44,1080
19081,4545,292,66,363,156,34272,7524,366,34,462,214,35,1080
390016,20916,158,210,186,0,720184,32790,248,247,661,101,89,1080
44621,1687,644,235,381,189,101295,3950,568,126,299,360,30,1085
36635,1945,413,261,706,0,68351,2917,493,110,531,43,45,1085
8322,2923,279,68,336,108,20180,5528,223,21,454,230,34,1086
45979,6158,477,0,0,458,42095,6762,327,81,160,372,109,1087
57502,1688,791,151,663,220,98107,3182,604,97,506,192,53,1090
49369,880,875,282,309,203,89680,3290,374,186,285,275,59,1091
16011,15817,187,184,256,0,33803,25907,299,112,76,138,38,1093
28687,1401,579,77,538,0,65007,2780,547,52,390,0,38,1094
5435,2485,0,99,562,95,14948,5736,13,93,587,301,27,1100
10309,2715,36,48,387,34,25720,5252,178,9,190,279,31,1100
64249,291,344,371,289,0,113952,2328,451,199,186,215,51,1102
5565,3756,230,205,195,140,29606,12231,331,162,0,115,15,1103
185158,29353,683,574,0,0,89003,8973,543,209,206,284,195,1105
28761,898,660,353,649,479,63303,2524,624,256,572,500,36,1105
7420,577,85,126,499,98,43985,3734,50,14,453,0,13,1106
30129,4682,0,0,142,365,65397,6345,245,0,135,440,66,1107
28650,8658,468,347,591,189,74657,15815,409,272,336,157,35,1110
30327,1291,863,324,873,59,59417,2514,646,188,403,197,48,1110
