FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
35171,1691,4914,453,285,234,90640,3585,5900,309,136,148,29,1332
28189,3000,13940,782,453,226,106830,6307,13665,782,238,312,34,1335
14936,2113,283,0,145,129,20752,5428,305,45,254,130,56,1335
52443,3124,4570,578,352,262,96496,5580,4473,324,139,401,69,1337
9714,898,4599,435,241,110,43009,3794,6350,499,170,136,20,1338
45183,4054,8429,539,870,308,94116,6091,7337,439,508,259,47,1341
39293,3156,6294,764,295,201,68652,2265,6329,438,283,394,83,1346
7492,1343,195,69,370,353,20210,8600,172,120,303,231,31,1347
4268,4880,356,101,55,74,9098,10431,443,47,275,156,38,1349
15970,1954,93,0,483,149,50871,4166,136,35,287,235,43,1350
41285,2792,5464,383,346,316,103938,5235,5373,260,220,356,32,1351
32659,3237,13707,869,0,225,72731,4568,12591,815,101,350,50,1352
240901,41283,1518,374,580,203,107057,13708,879,181,563,406,232,1352
5933,1764,107,101,229,134,29029,6859,146,0,234,256,16,1352
13056,1934,585,120,304,0,30093,5262,509,97,301,79,33,1353
6849,739,365,60,249,79,43691,3626,571,0,0,0,12,1353
22093,2266,563,281,697,0,56515,3464,464,122,425,57,57,1358
7552,349,239,128,291,61,44785,3364,289,22,137,0,13,1360
22840,1669,4558,176,493,0,53965,3562,4487,99,186,10,36,1366
11647,1574,22,237,235,7,43339,3531,119,144,206,0,32,1366
8782,2064,133,78,466,359,32329,5105,270,0,203,376,19,1369
11300,3494,162,139,70,0,20992,5562,203,80,180,79,37,1370
2695,4533,0,0,328,161,11784,10829,89,0,172,131,20,1370
33465,667,5670,284,249,117,89649,2373,5621,190,253,226,36,1370
17139,3810,0,145,390,413,29426,6842,288,93,374,230,42,1370
8913,1019,239,146,474,55,42780,4105,245,46,398,0,17,1373
77885,7200,57,0,0,238,144352,10312,228,117,287,286,77,1374
6136,2466,15876,993,246,238,22773,7879,22231,1174,361,254,18,1375
14678,1903,446,66,339,426,47041,3514,575,53,190,398,32,1377
121418,48475,332,323,534,313,277400,74449,454,212,636,250,51,1383
3943,2447,0,72,370,220,13870,6233,0,73,254,130,22,1384
21721,17877,397,318,0,0,54113,29752,319,269,0,102,39,1384
25505,10081,196,9,351,237,64466,17956,245,19,326,275,43,1389
4865,5258,134,213,0,0,20797,20762,385,225,0,217,25,1393
33440,1786,9651,1107,364,80,83566,3822,8114,749,195,148,54,1396
37161,2692,8121,829,0,361,68924,3054,7380,411,193,404,70,1402
12880,8026,291,167,475,338,34087,14709,272,41,283,195,32,1403
39915,1664,7998,707,429,0,95565,3944,7663,530,570,162,35,1405
34729,928,6332,566,327,0,90407,2438,6073,347,435,0,32,1408
10451,1698,385,78,567,97,20870,5411,432,27,367,286,39,1410
5271,3847,289,347,463,185,17421,9054,336,274,281,218,21,1411
23539,1505,0,340,280,111,67650,2696,0,225,35,213,29,1412
745885,16892,198,202,0,0,1221815,21434,296,113,204,253,82,1413
4379,1384,35,185,162,165,25715,5258,0,89,0,66,13,1413
6048,3917,94,146,13,300,12053,6987,303,145,7,308,30,1415
58561,3391,11192,408,342,0,123667,3402,10169,558,316,73,65,1418
61057,11835,524,107,466,353,103081,15800,387,114,199,387,48,1420
263140,15721,0,27,0,0,465787,22353,184,230,116,181,78,1426
56468,4925,7803,383,501,153,117097,5182,5930,223,377,457,72,1428
39919,7282,956,0,0,337,36976,6399,493,116,170,330,108,1428
13160,2931,397,98,226,31,26056,5413,320,138,165,231,37,1428
23047,2253,220,83,402,153,61504,5504,308,109,175,269,35,1430
36837,7691,8020,243,177,197,68401,12568,6232,275,172,160,42,1430
22123,2808,353,287,465,171,47214,5232,390,163,231,353,50,1439
114029,5529,26,123,525,380,243012,9309,412,103,363,457,76,1440
123420,7787,385,376,292,204,245647,12400,510,202,300,203,62,1440
5552,3452,88,188,324,138,19028,8698,170,117,143,314,27,1442
57588,35587,443,39,715,264,98973,52273,583,63,241,188,65,1443
26131,2129,10405,562,400,337,65619,3202,9470,493,266,262,52,1444
