FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
3176,1926,69,149,219,120,19377,7555,22,55,0,46,12,1061
301029,13099,153,267,0,20,551066,19456,175,278,333,189,71,1062
10339,7245,0,311,309,85,27944,13670,10,232,150,315,31,1062
9059,1942,261,12,283,207,19544,5582,206,79,114,278,31,1063
7168,4788,585,241,252,0,14229,7196,555,132,102,0,33,1063
14154,4918,764,58,19,67,20685,6068,558,43,45,131,57,1064
16614,3358,44,0,129,383,25464,5321,194,0,293,342,49,1066
5959,3446,411,176,589,355,16370,6843,596,119,396,280,24,1067
29444,2662,418,176,678,452,62817,5150,531,169,562,460,39,1068
11962,4044,276,128,0,2,40695,6399,415,132,215,134,41,1069
8858,670,0,155,517,288,45573,3449,0,94,358,226,15,1070
5440,3064,387,231,195,0,13253,5796,346,154,186,0,28,1071
24247,3077,394,0,249,274,22782,5768,527,50,245,466,73,1072
6980,3043,419,208,153,325,22121,5920,348,86,0,424,26,1076
8191,3146,131,250,465,35,20183,5789,221,117,242,231,33,1076
31740,1679,981,284,439,131,69798,2632,799,108,317,336,54,1076
10863,989,314,120,531,170,44856,3770,302,74,338,200,28,1077
4067,1430,125,222,444,279,25918,6154,0,173,290,391,12,1078
5801,2134,489,114,46,4,19609,5471,568,21,0,0,19,1079
10612,436,177,201,241,71,44924,3631,487,91,253,186,25,1079
174266,7935,270,80,351,634,319719,9560,543,127,356,285,83,1081
1737,2179,243,133,391,135,7068,8095,267,0,316,10,15,1082
265715,14002,0,0,0,335,486734,19391,349,28,433,324,83,1082
2799,949,390,143,213,240,16969,5943,551,18,0,233,12,1085
32503,5603,555,48,249,422,75979,9657,391,0,207,514,38,1086
3248,1538,385,120,268,195,17118,5734,503,40,187,147,15,1087
7996,1060,152,105,351,220,47140,4330,146,0,214,174,13,1087
18467,1749,480,225,288,123,51897,4206,540,116,200,185,35,1090
25813,3311,344,264,946,47,41032,4618,405,221,712,147,74,1092
25482,1587,589,201,1028,0,64495,4405,385,89,968,0,31,1092
11207,4266,378,213,237,0,18000,7314,492,162,176,75,35,1093
37193,12406,827,412,867,452,74252,20947,718,262,836,522,35,1093
31225,3483,493,288,184,216,66316,5175,633,295,345,273,50,1093
5336,1392,437,210,172,180,24486,5975,578,142,0,186,18,1094
11176,3780,306,285,486,0,25316,6612,192,233,311,0,27,1094
23015,2099,730,64,441,374,40312,5140,684,26,302,261,35,1094
13909,2121,0,477,171,0,42099,5018,229,374,111,20,34,1094
9691,2537,93,231,409,373,18160,5520,407,189,158,397,35,1094
269242,41510,4194,1150,2486,649,516682,54573,3319,742,2167,612,71,1095
10100,3557,0,131,684,0,18890,5782,153,170,378,93,47,1097
101907,9944,153,166,1212,70,161194,12503,302,206,496,503,75,1097
5751,1637,479,213,144,170,31214,5826,627,130,0,46,14,1097
137549,5872,733,12,922,0,243381,6670,570,158,424,420,113,1098
4215,2577,180,136,174,216,12804,6331,278,77,119,223,26,1098
8325,2269,382,296,162,35,20086,5552,307,155,4,52,27,1098
9691,1448,282,133,384,0,37474,5489,306,5,260,167,18,1100
8973,2955,344,151,385,0,27014,5845,284,115,313,66,31,1101
10232,3680,841,275,156,41,24977,6187,685,136,12,220,35,1103
14543,1444,0,116,364,198,43858,4560,95,142,183,158,29,1104
15596,2099,289,161,555,161,48316,3182,491,75,389,236,36,1105
7180,2169,7,55,142,276,24658,5529,192,0,0,266,26,1105
9077,2646,390,193,421,138,24102,6100,433,139,508,185,26,1106
20566,2862,332,133,453,17,60326,6280,245,25,284,110,25,1107
23546,2838,560,69,585,195,53936,5417,449,4,410,218,38,1107
7909,3622,458,370,330,208,22250,5551,527,271,269,146,37,1107
3494,2217,266,99,310,192,14231,7899,674,0,57,164,14,1108
9077,3290,832,128,625,0,28526,6369,762,52,511,0,33,1108
5093,4891,706,176,219,238,9280,6492,498,135,252,386,45,1108
14514,3406,34,52,238,323,32777,6356,599,50,213,450,44,1113
8132,1430,0,281,430,104,22921,5433,172,156,340,69,27,1114
75624,6357,0,432,0,813,134327,7261,290,185,387,678,66,1115
5585,1018,0,142,286,35,29503,5605,0,49,55,12,15,1119
13878,1924,490,179,337,50,29569,5159,451,75,384,315,59,1121
10504,3916,69,87,693,320,20601,6024,185,0,420,437,35,1122
5441,3388,171,0,310,82,12252,6233,373,6,215,231,32,1122
22401,5573,0,175,382,267,30446,6279,219,94,222,338,52,1428
23990,10804,669,223,381,183,54906,21295,926,147,428,158,36,1428
7178,779,190,101,220,180,43593,4041,236,0,0,97,13,1428
7069585,1056983,11839,6071,2626,0,497908,70393,623,391,422,315,1001,1433
29637,2663,372,193,463,0,77671,4450,273,84,202,74,50,1443
55013,989,480,116,414,0,139094,2138,652,132,321,10,41,1448
5549,8977,156,238,336,223,28675,27575,38,154,119,152,15,1448
28805,2702,0,190,34,179,67056,6372,158,196,543,270,46,1450
9829,2126,167,146,226,80,21082,5588,225,87,88,179,31,1452
58168,2323,901,261,760,149,135944,2778,709,105,318,232,58,1454
66314,14289,26,214,0,35,42661,5747,272,232,248,315,148,1456
18552,5480,521,199,261,173,23378,5724,208,125,160,207,58,1457
22142,949,588,176,495,207,73669,2832,709,74,402,99,24,1457
9950,1510,316,48,441,132,45988,3198,322,59,224,0,24,1457
3570,3667,357,317,448,314,12429,12777,332,218,476,316,23,1459
15370,1674,276,0,196,252,43803,4105,213,0,68,256,30,1461
18918,3388,805,205,517,247,51541,7672,1027,199,502,337,26,1463
22297,5302,613,323,456,368,52051,9001,692,224,247,305,48,1465
23115,2338,162,167,271,92,71719,4854,280,188,254,55,26,1465
24267,3263,421,207,478,111,46748,5638,318,135,474,209,52,1467
19941,2763,177,205,414,58,50157,4631,181,145,247,205,34,1467
29768,1263,598,258,634,380,68349,2417,620,159,412,258,35,1471
23545,1574,669,278,688,285,68362,4605,596,168,673,190,29,1472
91135,6796,0,0,327,13,190484,7979,423,52,286,269,64,1475
23646,2144,0,261,342,310,45565,4148,306,197,220,279,55,1475
10296,3193,331,108,265,40,25555,5861,245,74,285,153,44,1477
17515,1971,152,278,132,79,43299,4237,285,234,93,75,37,1478
3747,3521,334,146,424,135,16217,10357,302,20,243,118,17,1478
183265,10185,0,52,0,116,394238,16171,57,66,0,343,57,1481
